Mutation Operator,Valid,Invalid
MethodCallExpression_target_delete,317,52
SimpleAnnotationStatement_values_add,49,0
AnnotationBlock_statements_delete,49,0
PropertyCallExpression_target_delete,396,0
FormalParameterExpression_create_replace,97,0
FormalParameterExpression_name_replace,97,0
VariableDeclarationExpression_resolvedType_replace,6,0
EOLModule_block_add,0,12
Block_statements_delete,629,0
IfStatement_elseIfBodies_delete,17,0
EOLModule_block_delete,3,0
MethodCallExpression_method_replace,88,0
Block_statements_replace,769,0
VariableDeclarationExpression_create_replace,282,0
SimpleAnnotationStatement_name_replace,49,0
ExpressionOrStatementBlock_block_delete,150,0
IfStatement_elseIfBodies_add,304,0
FOLMethodCallExpression_conditions_replace,82,0
PropertyCallExpression_extended_replace,396,0
FOLMethodCallExpression_target_delete,35,0
OperationDefinition_returnType_replace,60,0
ExpressionOrStatementBlock_expression_delete,0,150
FOLMethodCallExpression_method_replace,154,0
EOLModule_operations_delete,77,0
OperationDefinition_annotationBlock_add,28,0
ExpressionOrStatementBlock_block_add,0,600
ExpressionOrStatementBlock_condition_delete,17,133
ReturnStatement_expression_replace,48,0
Import_imported_replace,2,0
ExpressionOrStatementBlock_condition_replace,85,0
IfStatement_condition_replace,164,0
EOLModule_imports_delete,2,0
OperationDefinition_body_add,0,308
AnnotationBlock_statements_add,196,0
MethodCallExpression_arguments_replace,6,0
OperationDefinition_body_delete,77,0
AssignmentStatement_rhs_replace,22,0
IntegerExpression_resolvedType_replace,47,0
FormalParameterExpression_resolvedType_replace,2,0
ModelElementType_modelName_replace,270,0
MethodCallExpression_arguments_add,369,0
SequenceExpression_resolvedType_replace,3,0
OperationDefinition_annotationBlock_delete,49,0
VariableDeclarationExpression_name_replace,282,0
FOLMethodCallExpression_conditions_delete,0,35
OperationDefinition_parameters_add,77,0
OperationDefinition_parameters_delete,38,0
MethodCallExpression_arguments_delete,92,0
Block_statements_add,920,0
IfStatement_elseBody_add,172,132
ModelElementType_modelName_delete,270,0
OperationDefinition__result_delete,77,0
IfStatement_elseBody_delete,33,43
Total Mutants,7454,1465
