Mutation Operator,Valid,Invalid
MethodCallExpression_target_delete,106,2
SimpleAnnotationStatement_values_add,46,0
AnnotationBlock_statements_delete,46,0
PropertyCallExpression_target_delete,61,0
FormalParameterExpression_create_replace,47,0
FormalParameterExpression_name_replace,47,0
VariableDeclarationExpression_resolvedType_replace,3,0
EOLModule_block_add,0,4
Block_statements_delete,179,0
IfStatement_elseIfBodies_delete,4,0
EOLModule_block_delete,1,0
MethodCallExpression_method_replace,26,0
Block_statements_replace,248,0
VariableDeclarationExpression_create_replace,150,0
SimpleAnnotationStatement_name_replace,46,0
ExpressionOrStatementBlock_block_delete,65,0
IfStatement_elseIfBodies_add,136,0
FOLMethodCallExpression_conditions_replace,65,0
PropertyCallExpression_extended_replace,61,0
FOLMethodCallExpression_target_delete,24,0
OperationDefinition_returnType_replace,57,0
ExpressionOrStatementBlock_expression_delete,0,65
FOLMethodCallExpression_method_replace,117,0
EOLModule_operations_delete,58,0
OperationDefinition_annotationBlock_add,12,0
ExpressionOrStatementBlock_block_add,0,260
ExpressionOrStatementBlock_condition_delete,4,61
ReturnStatement_expression_replace,48,0
ExpressionOrStatementBlock_condition_replace,9,0
IfStatement_condition_replace,61,0
OperationDefinition_body_add,0,232
AnnotationBlock_statements_add,184,0
MethodCallExpression_arguments_replace,6,0
OperationDefinition_body_delete,58,0
IntegerExpression_resolvedType_replace,4,0
ModelElementType_modelName_replace,160,0
MethodCallExpression_arguments_add,108,0
SequenceExpression_resolvedType_replace,3,0
OperationDefinition_annotationBlock_delete,46,0
VariableDeclarationExpression_name_replace,150,0
FOLMethodCallExpression_conditions_delete,0,24
OperationDefinition_parameters_add,58,0
OperationDefinition_parameters_delete,18,0
MethodCallExpression_arguments_delete,26,0
Block_statements_add,496,0
IfStatement_elseBody_add,48,88
ModelElementType_modelName_delete,160,0
OperationDefinition__result_delete,58,0
IfStatement_elseBody_delete,22,12
Total Mutants,3332,748
