Mutation Operator,Valid,Invalid
MethodCallExpression_target_delete,10,0
IfStatement_condition_replace,7,0
OperationDefinition_body_add,0,8
PropertyCallExpression_target_delete,24,0
FormalParameterExpression_create_replace,5,0
FormalParameterExpression_name_replace,5,0
VariableDeclarationExpression_resolvedType_replace,6,0
EOLModule_block_add,0,4
WhileStatement_condition_replace,1,0
Block_statements_delete,25,0
OperationDefinition_body_delete,2,0
AssignmentStatement_rhs_replace,5,0
EOLModule_block_delete,1,0
IntegerExpression_resolvedType_replace,2,0
ModelElementType_modelName_add,0,14
MethodCallExpression_method_replace,8,0
Block_statements_replace,32,0
VariableDeclarationExpression_create_replace,9,0
ModelElementType_modelName_replace,0,14
OperationDefinition_contextType_replace,2,0
ExpressionOrStatementBlock_block_delete,6,0
IfStatement_elseIfBodies_add,8,0
FOLMethodCallExpression_conditions_replace,7,0
PropertyCallExpression_extended_replace,24,0
MethodCallExpression_arguments_add,10,0
NameExpression_resolvedType_replace,3,0
FOLMethodCallExpression_target_delete,2,0
OperationDefinition_returnType_replace,3,0
VariableDeclarationExpression_name_replace,9,0
FOLMethodCallExpression_conditions_delete,0,2
OperationDefinition_parameters_add,2,0
ExpressionOrStatementBlock_expression_delete,0,6
FOLMethodCallExpression_method_replace,10,0
MethodCallExpression_arguments_delete,1,0
Block_statements_add,36,0
IfStatement_elseBody_add,8,0
EOLModule_operations_delete,2,0
OperationDefinition_annotationBlock_add,2,0
ExpressionOrStatementBlock_block_add,0,24
OperationDefinition__result_delete,2,0
ExpressionOrStatementBlock_condition_delete,0,6
IfStatement_elseBody_delete,0,2
Total Mutants,279,80
