Mutation Operator,Valid,Invalid
CMO-S-REP_NegativeOperatorExpression_inBrackets,0,4
CMO-M-DEL_MethodCallExpression_arguments,53,0
CMO-S-REP_FormalParameterExpression_name,34,0
CMO-M-ADD_OperationDefinition_parameters,7,0
CMO-S-REP_NotOperatorExpression_inBrackets,1,4
CMO-S-REP_EqualsOperatorExpression_inBrackets,0,6
CMO-S-REP_VariableDeclarationExpression_name,70,0
CMO-S-DEL_ExpressionOrStatementBlock_expression,0,50
CMO-M-REP_Block_statements,26,0
CMO-S-REP_MethodCallExpression_method,42,0
CMO-S-REP_FOLMethodCallExpression_method,37,0
CMO-M-REP_FOLMethodCallExpression_conditions,11,0
CMO-S-REP_IfStatement_condition,58,0
CMO-S-REP_AssignmentStatement_rhs,18,0
CMO-S-REP_PlusOperatorExpression_inBrackets,0,21
CMO-S-REP_PropertyCallExpression_extended,33,235
CMO-S-DEL_PropertyCallExpression_target,268,0
CMO-S-DEL_ExpressionOrStatementBlock_condition,0,50
CMO-S-REP_VariableDeclarationExpression_create,11,0
CMO-S-DEL_OperationDefinition_body,7,0
CMO-S-REP_OrOperatorExpression_inBrackets,2,1
CMO-M-DEL_FOLMethodCallExpression_conditions,0,11
CMO-S-REP_AndOperatorExpression_inBrackets,0,4
CMO-S-DEL_ModelElementType_modelName,54,0
CMO-M-DEL_EOLModule_operations,7,0
CMO-M-ADD_MethodCallExpression_arguments,165,0
CMO-S-REP_ModelElementType_modelName,54,0
CMO-S-DEL_MethodCallExpression_target,140,25
CMO-S-DEL_EOLModule_block,1,0
CMO-S-DEL_ExpressionOrStatementBlock_block,50,0
CMO-M-ADD_Block_statements,60,0
CMO-M-DEL_Block_statements,318,0
CMO-S-REP_NotEqualsOperatorExpression_inBrackets,0,1
CMO-S-DEL_FOLMethodCallExpression_target,11,0
CMO-S-REP_VariableDeclarationExpression_resolvedType,2,0
CMO-M-DEL_OperationDefinition_parameters,5,0
CMO-S-DEL_IfStatement_elseBody,8,16
Total Mutants,1553,428
