Mutation Operator,Valid,Invalid
CMO-M-DEL_MethodCallExpression_arguments,26,0
CMO-S-REP_FormalParameterExpression_name,47,0
CMO-M-ADD_OperationDefinition_parameters,58,0
CMO-S-REP_NotOperatorExpression_inBrackets,1,3
CMO-S-REP_EqualsOperatorExpression_inBrackets,0,20
CMO-S-REP_VariableDeclarationExpression_name,34,0
CMO-S-DEL_ExpressionOrStatementBlock_expression,0,65
CMO-S-REP_ExpressionOrStatementBlock_condition,9,0
CMO-M-REP_Block_statements,55,0
CMO-S-REP_MethodCallExpression_method,26,0
CMO-S-REP_FOLMethodCallExpression_method,117,0
CMO-M-DEL_IfStatement_elseIfBodies,4,0
CMO-M-REP_FOLMethodCallExpression_conditions,64,0
CMO-S-REP_IfStatement_condition,61,0
CMO-S-REP_PlusOperatorExpression_inBrackets,0,4
CMO-S-REP_PropertyCallExpression_extended,0,61
CMO-S-DEL_PropertyCallExpression_target,61,0
CMO-S-REP_OperationDefinition_returnType,57,0
CMO-S-DEL_ExpressionOrStatementBlock_condition,4,61
CMO-S-REP_VariableDeclarationExpression_create,2,0
CMO-S-DEL_OperationDefinition_body,58,0
CMO-S-REP_OrOperatorExpression_inBrackets,1,3
CMO-S-REP_ReturnStatement_expression,48,0
CMO-M-DEL_FOLMethodCallExpression_conditions,0,24
CMO-S-REP_AndOperatorExpression_inBrackets,0,3
CMO-S-DEL_ModelElementType_modelName,108,0
CMO-M-DEL_EOLModule_operations,58,0
CMO-M-ADD_MethodCallExpression_arguments,108,0
CMO-S-REP_ModelElementType_modelName,108,0
CMO-S-DEL_MethodCallExpression_target,106,2
CMO-S-DEL_ExpressionOrStatementBlock_block,65,0
CMO-M-REP_MethodCallExpression_arguments,6,0
CMO-M-ADD_Block_statements,16,0
CMO-M-DEL_Block_statements,179,0
CMO-S-DEL_FOLMethodCallExpression_target,24,0
CMO-S-REP_VariableDeclarationExpression_resolvedType,2,0
CMO-M-DEL_OperationDefinition_parameters,18,0
CMO-S-DEL_IfStatement_elseBody,22,12
Total Mutants,1553,258
