Mutation Operator,Valid,Invalid
CMO-M-DEL_MethodCallExpression_arguments,77,0
CMO-S-REP_FormalParameterExpression_name,58,0
CMO-M-ADD_OperationDefinition_parameters,24,0
CMO-S-REP_NotOperatorExpression_inBrackets,0,7
CMO-S-REP_EqualsOperatorExpression_inBrackets,1,1
CMO-S-REP_VariableDeclarationExpression_name,45,0
CMO-S-DEL_ExpressionOrStatementBlock_expression,0,54
CMO-M-REP_Block_statements,49,0
CMO-S-REP_MethodCallExpression_method,23,0
CMO-S-REP_FOLMethodCallExpression_method,48,0
CMO-M-REP_FOLMethodCallExpression_conditions,14,0
CMO-S-REP_IfStatement_condition,59,0
CMO-S-REP_PlusOperatorExpression_inBrackets,0,61
CMO-S-REP_PropertyCallExpression_extended,0,14
CMO-S-DEL_PropertyCallExpression_target,14,0
CMO-S-REP_OperationDefinition_returnType,34,0
CMO-S-ADD_ModelElementType_modelName,0,70
CMO-S-DEL_ExpressionOrStatementBlock_condition,0,54
CMO-S-DEL_OperationDefinition_body,24,0
CMO-S-REP_OrOperatorExpression_inBrackets,1,0
CMO-S-REP_ReturnStatement_expression,14,0
CMO-M-DEL_FOLMethodCallExpression_conditions,0,12
CMO-S-REP_OperationDefinition_contextType,6,0
CMO-S-REP_AndOperatorExpression_inBrackets,1,5
CMO-M-DEL_EOLModule_operations,24,0
CMO-M-ADD_MethodCallExpression_arguments,202,0
CMO-S-DEL_MethodCallExpression_target,202,0
CMO-S-DEL_ExpressionOrStatementBlock_block,54,0
CMO-M-REP_MethodCallExpression_arguments,96,0
CMO-M-ADD_Block_statements,50,0
CMO-M-DEL_Block_statements,171,0
CMO-S-REP_NotEqualsOperatorExpression_inBrackets,0,4
CMO-S-DEL_FOLMethodCallExpression_target,12,0
CMO-S-REP_VariableDeclarationExpression_resolvedType,14,0
CMO-M-DEL_OperationDefinition_parameters,33,0
CMO-S-DEL_IfStatement_elseBody,8,25
Total Mutants,1358,307
