Mutation Operator,Valid,Invalid
CMO-S-REP_NegativeOperatorExpression_inBrackets,0,12
CMO-M-DEL_MethodCallExpression_arguments,13,0
CMO-S-REP_FormalParameterExpression_name,16,0
CMO-M-ADD_OperationDefinition_parameters,12,0
CMO-S-REP_EqualsOperatorExpression_inBrackets,0,16
CMO-S-REP_NotOperatorExpression_inBrackets,0,3
CMO-S-REP_VariableDeclarationExpression_name,24,0
CMO-S-DEL_ExpressionOrStatementBlock_expression,0,35
CMO-S-REP_ExpressionOrStatementBlock_condition,76,0
CMO-M-REP_Block_statements,25,0
CMO-S-REP_MethodCallExpression_method,20,0
CMO-M-DEL_IfStatement_elseIfBodies,13,0
CMO-S-REP_IfStatement_condition,45,0
CMO-S-REP_AssignmentStatement_rhs,4,0
CMO-S-REP_PlusOperatorExpression_inBrackets,0,5
CMO-S-REP_PropertyCallExpression_extended,0,67
CMO-S-REP_MinusOperatorExpression_inBrackets,0,1
CMO-S-DEL_PropertyCallExpression_target,67,0
CMO-S-REP_OperationDefinition_returnType,3,0
CMO-S-DEL_ExpressionOrStatementBlock_condition,13,22
CMO-S-REP_VariableDeclarationExpression_create,1,0
CMO-S-DEL_OperationDefinition_body,12,0
CMO-S-REP_OrOperatorExpression_inBrackets,0,2
CMO-S-REP_AndOperatorExpression_inBrackets,0,3
CMO-S-DEL_ModelElementType_modelName,43,0
CMO-M-DEL_EOLModule_operations,12,0
CMO-M-ADD_MethodCallExpression_arguments,96,0
CMO-S-REP_ModelElementType_modelName,43,0
CMO-S-DEL_MethodCallExpression_target,71,25
CMO-S-DEL_ExpressionOrStatementBlock_block,34,0
CMO-M-ADD_Block_statements,5,0
CMO-M-DEL_Block_statements,132,0
CMO-M-DEL_OperationDefinition_parameters,15,0
CMO-S-REP_FormalParameterExpression_resolvedType,2,0
CMO-S-REP_GreaterThanOperatorExpression_inBrackets,0,1
CMO-S-DEL_IfStatement_elseBody,3,15
Total Mutants,800,207
