Mutation Operator,Valid,Invalid,power
CMO-M-DEL_Block_statements,825,0,825
CMO-M-ADD_MethodCallExpression_arguments,581,0,581
CMO-S-DEL_MethodCallExpression_target,529,52,477
CMO-S-DEL_PropertyCallExpression_target,434,0,434
CMO-S-REP_IfStatement_condition,230,0,230
CMO-S-REP_FOLMethodCallExpression_method,212,0,212
CMO-S-DEL_ExpressionOrStatementBlock_block,209,0,209
CMO-S-DEL_ModelElementType_modelName,205,0,205
CMO-S-REP_ModelElementType_modelName,205,0,205
CMO-S-REP_VariableDeclarationExpression_name,178,0,178
CMO-M-DEL_MethodCallExpression_arguments,170,0,170
CMO-M-REP_Block_statements,160,0,160
CMO-S-REP_FormalParameterExpression_name,160,0,160
CMO-M-ADD_Block_statements,145,0,145
CMO-S-REP_MethodCallExpression_method,119,0,119
CMO-M-ADD_OperationDefinition_parameters,103,0,103
CMO-M-DEL_EOLModule_operations,103,0,103
CMO-S-DEL_OperationDefinition_body,103,0,103
CMO-M-REP_MethodCallExpression_arguments,102,0,102
CMO-S-REP_OperationDefinition_returnType,97,0,97
CMO-M-REP_FOLMethodCallExpression_conditions,96,0,96
CMO-S-REP_ExpressionOrStatementBlock_condition,85,0,85
CMO-M-DEL_OperationDefinition_parameters,71,0,71
CMO-S-REP_ReturnStatement_expression,62,0,62
CMO-S-DEL_FOLMethodCallExpression_target,49,0,49
CMO-S-REP_AssignmentStatement_rhs,27,0,27
CMO-S-REP_VariableDeclarationExpression_resolvedType,20,0,20
CMO-M-DEL_IfStatement_elseIfBodies,17,0,17
CMO-S-REP_VariableDeclarationExpression_create,14,0,14
CMO-S-REP_OperationDefinition_contextType,8,0,8
CMO-S-DEL_EOLModule_block,2,0,2
CMO-S-REP_FormalParameterExpression_resolvedType,2,0,2
CMO-S-REP_WhileStatement_condition,1,0,1
CMO-S-DEL_IfStatement_elseBody,41,70,-29
CMO-S-REP_GreaterThanOperatorExpression_inBrackets,0,1,-1
CMO-S-REP_LessThanOperatorExpression_inBrackets,0,1,-1
CMO-S-REP_LessThanOrEqualToOperatorExpression_inBrackets,0,1,-1
CMO-S-REP_MinusOperatorExpression_inBrackets,0,1,-1
CMO-S-REP_OrOperatorExpression_inBrackets,4,6,-2
CMO-S-REP_NotEqualsOperatorExpression_inBrackets,0,5,-5
CMO-S-REP_AndOperatorExpression_inBrackets,1,15,-14
CMO-S-REP_NegativeOperatorExpression_inBrackets,0,16,-16
CMO-S-REP_NotOperatorExpression_inBrackets,2,18,-16
CMO-S-REP_EqualsOperatorExpression_inBrackets,1,43,-42
CMO-S-REP_PlusOperatorExpression_inBrackets,1,101,-100
CMO-M-DEL_FOLMethodCallExpression_conditions,0,49,-49
CMO-S-ADD_ModelElementType_modelName,0,84,-84
CMO-S-DEL_ExpressionOrStatementBlock_condition,17,193,-176
CMO-S-DEL_ExpressionOrStatementBlock_expression,0,210,-210
CMO-S-REP_PropertyCallExpression_extended,45,389,-344
