Mutation Operator,Gen.,Trivial,Killed,Live,Equiv.,Invalid
CMO-M-ADD_Block_statements,16,2,3,7,4,0
CMO-M-ADD_MethodCallExpression_arguments,108,62,9,16,21,0
CMO-M-ADD_OperationDefinition_parameters,58,35,3,7,13,0
CMO-M-DEL_Block_statements,179,57,19,45,58,0
CMO-M-DEL_EOLModule_operations,58,35,3,8,12,0
CMO-M-DEL_IfStatement_elseIfBodies,4,2,2,0,0,0
CMO-M-DEL_MethodCallExpression_arguments,26,22,1,0,3,0
CMO-M-DEL_OperationDefinition_parameters,18,14,0,0,4,0
CMO-M-REP_Block_statements,55,17,4,29,5,0
CMO-M-REP_FOLMethodCallExpression_conditions,64,20,15,21,8,0
CMO-M-REP_MethodCallExpression_arguments,6,0,2,2,2,0
CMO-S-DEL_ExpressionOrStatementBlock_block,65,10,8,17,26,4
CMO-S-DEL_ExpressionOrStatementBlock_condition,4,0,0,0,0,4
CMO-S-DEL_FOLMethodCallExpression_target,24,14,6,0,4,0
CMO-S-DEL_IfStatement_elseBody,22,3,3,3,13,0
CMO-S-DEL_MethodCallExpression_target,106,61,9,16,20,0
CMO-S-DEL_ModelElementType_modelName,108,0,0,1,56,51
CMO-S-DEL_OperationDefinition_body,58,0,0,0,0,58
CMO-S-DEL_PropertyCallExpression_target,61,0,0,0,0,61
CMO-S-REP_ExpressionOrStatementBlock_condition,9,2,5,2,0,0
CMO-S-REP_FOLMethodCallExpression_method,117,69,21,6,21,0
CMO-S-REP_FormalParameterExpression_name,47,27,9,2,9,0
CMO-S-REP_IfStatement_condition,61,20,8,15,18,0
CMO-S-REP_MethodCallExpression_method,26,8,3,10,5,0
CMO-S-REP_ModelElementType_modelName,108,32,3,8,14,51
CMO-S-REP_NotOperatorExpression_inBrackets,1,0,0,0,1,0
CMO-S-REP_OperationDefinition_returnType,57,24,6,12,15,0
CMO-S-REP_OrOperatorExpression_inBrackets,1,0,0,0,1,0
CMO-S-REP_ReturnStatement_expression,48,6,8,25,9,0
CMO-S-REP_VariableDeclarationExpression_create,2,0,0,1,1,0
CMO-S-REP_VariableDeclarationExpression_name,34,25,2,5,2,0
CMO-S-REP_VariableDeclarationExpression_resolvedType,2,0,0,0,2,0
