Mutation Operator,Gen.,Trivial,Killed,Live,Equiv.,Invalid
CMO-M-ADD_Block_statements,50,7,10,20,13,0
CMO-M-ADD_MethodCallExpression_arguments,202,110,25,57,10,0
CMO-M-ADD_OperationDefinition_parameters,24,20,1,1,2,0
CMO-M-DEL_Block_statements,171,78,38,30,25,0
CMO-M-DEL_EOLModule_operations,24,20,1,1,2,0
CMO-M-DEL_MethodCallExpression_arguments,77,39,5,33,0,0
CMO-M-DEL_OperationDefinition_parameters,33,32,1,0,0,0
CMO-M-REP_Block_statements,49,27,9,11,2,0
CMO-M-REP_FOLMethodCallExpression_conditions,14,11,2,1,0,0
CMO-M-REP_MethodCallExpression_arguments,96,64,2,30,0,0
CMO-S-DEL_ExpressionOrStatementBlock_block,54,17,15,16,6,0
CMO-S-DEL_FOLMethodCallExpression_target,12,12,0,0,0,0
CMO-S-DEL_IfStatement_elseBody,8,4,2,2,0,0
CMO-S-DEL_MethodCallExpression_target,202,113,26,58,5,0
CMO-S-DEL_OperationDefinition_body,24,0,0,0,0,24
CMO-S-DEL_PropertyCallExpression_target,14,0,0,0,0,14
CMO-S-REP_AndOperatorExpression_inBrackets,1,0,0,1,0,0
CMO-S-REP_EqualsOperatorExpression_inBrackets,1,0,0,0,1,0
CMO-S-REP_FOLMethodCallExpression_method,48,43,2,1,2,0
CMO-S-REP_FormalParameterExpression_name,58,44,6,6,2,0
CMO-S-REP_IfStatement_condition,59,24,7,22,6,0
CMO-S-REP_MethodCallExpression_method,23,16,6,0,1,0
CMO-S-REP_OperationDefinition_contextType,6,0,3,0,3,0
CMO-S-REP_OperationDefinition_returnType,34,6,3,0,3,22
CMO-S-REP_OrOperatorExpression_inBrackets,1,0,1,0,0,0
CMO-S-REP_ReturnStatement_expression,14,7,4,3,0,0
CMO-S-REP_VariableDeclarationExpression_name,45,29,9,3,4,0
CMO-S-REP_VariableDeclarationExpression_resolvedType,14,7,2,0,5,0
