Mutation Operator,Gen.,Trivial,Killed,Not Killed,Invalid
CMO-M-ADD_Block_statements,50,7,10,33,0
CMO-M-ADD_MethodCallExpression_arguments,202,110,25,67,0
CMO-M-ADD_OperationDefinition_parameters,24,20,1,3,0
CMO-M-DEL_Block_statements,171,78,38,55,0
CMO-M-DEL_EOLModule_operations,24,20,1,3,0
CMO-M-DEL_MethodCallExpression_arguments,77,39,5,33,0
CMO-M-DEL_OperationDefinition_parameters,33,32,1,0,0
CMO-M-REP_Block_statements,49,27,9,13,0
CMO-M-REP_FOLMethodCallExpression_conditions,14,11,2,1,0
CMO-M-REP_MethodCallExpression_arguments,96,64,2,30,0
CMO-S-DEL_ExpressionOrStatementBlock_block,54,17,15,22,0
CMO-S-DEL_FOLMethodCallExpression_target,12,12,0,0,0
CMO-S-DEL_IfStatement_elseBody,8,4,2,2,0
CMO-S-DEL_MethodCallExpression_target,202,113,26,63,0
CMO-S-DEL_OperationDefinition_body,24,0,0,0,24
CMO-S-DEL_PropertyCallExpression_target,14,0,0,0,14
CMO-S-REP_AndOperatorExpression_inBrackets,1,0,0,1,0
CMO-S-REP_EqualsOperatorExpression_inBrackets,1,0,0,1,0
CMO-S-REP_FOLMethodCallExpression_method,48,43,2,3,0
CMO-S-REP_FormalParameterExpression_name,58,44,6,8,0
CMO-S-REP_IfStatement_condition,59,24,7,28,0
CMO-S-REP_MethodCallExpression_method,23,16,6,1,0
CMO-S-REP_OperationDefinition_contextType,6,0,3,3,0
CMO-S-REP_OperationDefinition_returnType,34,6,3,3,22
CMO-S-REP_OrOperatorExpression_inBrackets,1,0,1,0,0
CMO-S-REP_ReturnStatement_expression,14,7,4,3,0
CMO-S-REP_VariableDeclarationExpression_name,45,29,9,7,0
CMO-S-REP_VariableDeclarationExpression_resolvedType,14,7,2,5,0
