Mutation Operator,Gen.,Trivial,Killed,Live,Equiv.,Invalid
CMO-M-ADD_Block_statements,14,12,2,0,0,0
CMO-M-ADD_MethodCallExpression_arguments,10,10,0,0,0,0
CMO-M-ADD_OperationDefinition_parameters,2,2,0,0,0,0
CMO-M-DEL_Block_statements,25,25,0,0,0,0
CMO-M-DEL_EOLModule_operations,2,2,0,0,0,0
CMO-M-DEL_MethodCallExpression_arguments,1,0,1,0,0,0
CMO-M-REP_Block_statements,5,4,0,0,1,0
CMO-M-REP_FOLMethodCallExpression_conditions,7,6,1,0,0,0
CMO-S-DEL_EOLModule_block,1,1,0,0,0,0
CMO-S-DEL_ExpressionOrStatementBlock_block,6,6,0,0,0,0
CMO-S-DEL_FOLMethodCallExpression_target,2,2,0,0,0,0
CMO-S-DEL_MethodCallExpression_target,10,10,0,0,0,0
CMO-S-DEL_OperationDefinition_body,2,0,0,0,0,2
CMO-S-DEL_PropertyCallExpression_target,24,0,0,0,0,24
CMO-S-REP_AssignmentStatement_rhs,5,4,0,0,1,0
CMO-S-REP_FOLMethodCallExpression_method,10,8,1,0,1,0
CMO-S-REP_FormalParameterExpression_name,5,5,0,0,0,0
CMO-S-REP_IfStatement_condition,7,5,1,1,0,0
CMO-S-REP_MethodCallExpression_method,8,8,0,0,0,0
CMO-S-REP_OperationDefinition_contextType,2,2,0,0,0,0
CMO-S-REP_OperationDefinition_returnType,3,3,0,0,0,0
CMO-S-REP_PlusOperatorExpression_inBrackets,1,1,0,0,0,0
CMO-S-REP_PropertyCallExpression_extended,12,12,0,0,0,0
CMO-S-REP_VariableDeclarationExpression_name,5,5,0,0,0,0
CMO-S-REP_VariableDeclarationExpression_resolvedType,2,1,0,0,1,0
CMO-S-REP_WhileStatement_condition,1,1,0,0,0,0
