Mutation Operator,Gen.,Trivial,Killed,Live,Equiv.,Invalid
CMO-M-ADD_Block_statements,145,32,34,62,17,0
CMO-M-ADD_MethodCallExpression_arguments,581,324,99,125,33,0
CMO-M-ADD_OperationDefinition_parameters,103,70,6,10,17,0
CMO-M-DEL_Block_statements,825,335,161,235,94,0
CMO-M-DEL_EOLModule_operations,103,70,6,10,17,0
CMO-M-DEL_MethodCallExpression_arguments,170,99,18,50,3,0
CMO-M-DEL_OperationDefinition_parameters,71,62,3,1,5,0
CMO-M-REP_Block_statements,160,72,24,51,13,0
CMO-M-REP_FOLMethodCallExpression_conditions,96,38,22,26,10,0
CMO-S-DEL_EOLModule_block,2,2,0,0,0,0
CMO-S-DEL_ExpressionOrStatementBlock_block,209,56,36,68,32,17
CMO-S-DEL_FOLMethodCallExpression_target,49,34,8,3,4,0
CMO-S-DEL_IfStatement_elseBody,41,8,5,15,13,0
CMO-S-DEL_MethodCallExpression_target,529,297,84,123,25,0
CMO-S-DEL_ModelElementType_modelName,205,33,21,28,58,65
CMO-S-DEL_OperationDefinition_body,103,0,0,0,0,103
CMO-S-DEL_PropertyCallExpression_target,434,0,0,0,0,434
CMO-S-REP_AssignmentStatement_rhs,27,10,8,4,5,0
CMO-S-REP_FOLMethodCallExpression_method,212,135,34,19,24,0
CMO-S-REP_FormalParameterExpression_name,160,101,25,22,12,0
CMO-S-REP_IfStatement_condition,230,109,29,62,30,0
CMO-S-REP_MethodCallExpression_method,119,60,15,26,18,0
CMO-S-REP_ModelElementType_modelName,205,69,24,32,16,64
CMO-S-REP_NotOperatorExpression_inBrackets,2,0,0,0,2,0
CMO-S-REP_OrOperatorExpression_inBrackets,4,0,1,2,1,0
CMO-S-REP_PropertyCallExpression_extended,45,18,11,16,0,0
CMO-S-REP_VariableDeclarationExpression_create,14,9,0,4,1,0
CMO-S-REP_VariableDeclarationExpression_name,178,108,32,27,11,0
CMO-S-REP_VariableDeclarationExpression_resolvedType,20,8,2,0,10,0
CMO-M-REP_MethodCallExpression_arguments,102,64,4,32,2,0
CMO-S-REP_AndOperatorExpression_inBrackets,1,0,0,1,0,0
CMO-S-REP_EqualsOperatorExpression_inBrackets,1,0,0,0,1,0
CMO-S-REP_OperationDefinition_contextType,8,2,3,0,3,0
CMO-S-REP_OperationDefinition_returnType,97,36,9,12,18,22
CMO-S-REP_ReturnStatement_expression,62,13,12,28,9,0
CMO-M-DEL_IfStatement_elseIfBodies,17,4,12,1,0,0
CMO-S-DEL_ExpressionOrStatementBlock_condition,17,0,0,0,0,17
CMO-S-REP_ExpressionOrStatementBlock_condition,85,14,39,31,1,0
CMO-S-REP_FormalParameterExpression_resolvedType,2,0,0,0,2,0
CMO-S-REP_PlusOperatorExpression_inBrackets,1,1,0,0,0,0
CMO-S-REP_WhileStatement_condition,1,1,0,0,0,0
