Mutation Operator,Gen.,Trivial,Killed,Not Killed,Invalid
AssignmentStatement_rhs_replace,22,5,6,11,0
Block_statements_add,81,11,16,54,0
Block_statements_delete,629,112,56,461,0
Block_statements_replace,106,10,4,92,0
EOLModule_block_delete,3,1,0,2,0
EOLModule_imports_delete,2,2,0,0,0
EOLModule_operations_delete,77,4,0,73,0
ExpressionOrStatementBlock_block_delete,150,13,6,131,0
ExpressionOrStatementBlock_condition_delete,17,0,0,17,0
ExpressionOrStatementBlock_condition_replace,85,0,0,85,0
FOLMethodCallExpression_conditions_replace,75,1,4,70,0
FOLMethodCallExpression_method_replace,154,15,10,129,0
FOLMethodCallExpression_target_delete,35,6,2,27,0
FormalParameterExpression_name_replace,97,14,6,77,0
FormalParameterExpression_resolvedType_replace,2,0,0,2,0
IfStatement_condition_replace,164,35,2,127,0
IfStatement_elseBody_delete,33,1,0,32,0
IfStatement_elseIfBodies_delete,17,0,0,17,0
Import_imported_replace,2,0,0,0,2
MethodCallExpression_arguments_add,369,89,28,252,0
MethodCallExpression_arguments_delete,92,29,8,55,0
MethodCallExpression_arguments_replace,6,0,0,6,0
MethodCallExpression_method_replace,88,14,4,70,0
MethodCallExpression_target_delete,317,70,27,220,0
ModelElementType_modelName_delete,269,21,11,237,0
ModelElementType_modelName_replace,269,22,10,237,0
NotOperatorExpression_inBrackets_replace,2,0,0,2,0
OperationDefinition_annotationBlock_delete,49,0,0,49,0
OperationDefinition_body_delete,77,0,0,70,7
OperationDefinition_parameters_add,77,4,0,73,0
OperationDefinition_parameters_delete,38,4,0,34,0
OperationDefinition_returnType_replace,60,0,0,60,0
OrOperatorExpression_inBrackets_replace,3,0,0,3,0
PropertyCallExpression_extended_replace,33,6,11,16,0
PropertyCallExpression_target_delete,396,0,1,127,268
ReturnStatement_expression_replace,48,0,0,48,0
VariableDeclarationExpression_create_replace,14,8,0,6,0
VariableDeclarationExpression_name_replace,128,35,13,80,0
VariableDeclarationExpression_resolvedType_replace,4,0,0,4,0
Total Killed,,532,225
Total,4090,757,,3056,277
