Mutation Operator,Processed,Live,Equiv.,Not Killed,Invalid
CMO-M-ADD_Block_statements,33,33,0,0,0
CMO-M-ADD_MethodCallExpression_arguments,49,47,2,0,0
CMO-M-ADD_OperationDefinition_parameters,3,1,2,0,0
CMO-M-DEL_Block_statements,151,141,10,0,0
CMO-M-DEL_EOLModule_operations,3,1,2,0,0
CMO-M-DEL_MethodCallExpression_arguments,16,16,0,0,0
CMO-M-DEL_OperationDefinition_parameters,1,0,1,0,0
CMO-M-REP_Block_statements,12,7,5,0,0
CMO-M-REP_FOLMethodCallExpression_conditions,6,4,2,0,0
CMO-S-DEL_ExpressionOrStatementBlock_block,31,31,0,0,0
CMO-S-DEL_FOLMethodCallExpression_target,3,3,0,0,0
CMO-S-DEL_IfStatement_elseBody,7,7,0,0,0
CMO-S-DEL_MethodCallExpression_target,44,44,0,0,0
CMO-S-DEL_ModelElementType_modelName,25,20,2,0,3
CMO-S-REP_AssignmentStatement_rhs,7,4,3,0,0
CMO-S-REP_FOLMethodCallExpression_method,12,12,0,0,0
CMO-S-REP_FormalParameterExpression_name,14,13,1,0,0
CMO-S-REP_IfStatement_condition,21,17,4,0,0
CMO-S-REP_MethodCallExpression_method,24,14,10,0,0
CMO-S-REP_ModelElementType_modelName,24,20,2,0,2
CMO-S-REP_NotOperatorExpression_inBrackets,1,0,1,0,0
CMO-S-REP_OrOperatorExpression_inBrackets,2,2,0,0,0
CMO-S-REP_PropertyCallExpression_extended,16,16,0,0,0
CMO-S-REP_VariableDeclarationExpression_create,3,3,0,0,0
CMO-S-REP_VariableDeclarationExpression_name,22,20,2,0,0
CMO-S-REP_VariableDeclarationExpression_resolvedType,2,0,2,0,0
Total,532,476,51,0,5
