Mutation Operator,Gen.,Trivial,Killed,Not Killed,Invalid
Block_statements_add,16,2,3,11,0
Block_statements_delete,179,57,19,103,0
Block_statements_replace,55,17,4,34,0
EOLModule_block_delete,1,0,0,1,0
EOLModule_operations_delete,58,35,3,20,0
ExpressionOrStatementBlock_block_delete,65,10,8,43,4
ExpressionOrStatementBlock_condition_delete,4,0,0,0,4
ExpressionOrStatementBlock_condition_replace,9,2,5,2,0
FOLMethodCallExpression_conditions_replace,64,20,15,29,0
FOLMethodCallExpression_method_replace,117,69,21,27,0
FOLMethodCallExpression_target_delete,24,14,6,4,0
FormalParameterExpression_name_replace,47,27,9,11,0
IfStatement_condition_replace,61,20,8,33,0
IfStatement_elseBody_delete,22,3,3,16,0
IfStatement_elseIfBodies_delete,4,2,2,0,0
MethodCallExpression_arguments_add,108,62,9,37,0
MethodCallExpression_arguments_delete,26,22,1,3,0
MethodCallExpression_arguments_replace,6,0,2,4,0
MethodCallExpression_method_replace,26,8,3,15,0
MethodCallExpression_target_delete,106,61,9,36,0
ModelElementType_modelName_delete,159,0,0,159,0
ModelElementType_modelName_replace,159,32,3,124,0
NotOperatorExpression_inBrackets_replace,1,0,0,1,0
OperationDefinition_annotationBlock_delete,46,0,1,45,0
OperationDefinition_body_delete,58,0,0,0,58
OperationDefinition_parameters_add,58,35,3,20,0
OperationDefinition_parameters_delete,18,14,0,4,0
OperationDefinition_returnType_replace,57,24,6,27,0
OrOperatorExpression_inBrackets_replace,1,0,0,1,0
PropertyCallExpression_target_delete,61,0,0,0,61
ReturnStatement_expression_replace,48,6,8,34,0
VariableDeclarationExpression_create_replace,2,0,0,2,0
VariableDeclarationExpression_name_replace,34,25,2,7,0
VariableDeclarationExpression_resolvedType_replace,2,0,0,2,0
Total Killed,,567,153
Total,1702,720,,855,127
