Mutation Operator,Gen.,Trivial,Killed,Not Killed,Invalid
AndOperatorExpression_inBrackets_replace,1,0,0,1,0
Block_statements_add,50,7,10,33,0
Block_statements_delete,171,78,38,55,0
Block_statements_replace,49,27,9,13,0
EOLModule_block_delete,1,0,0,1,0
EOLModule_operations_delete,24,20,1,3,0
EqualsOperatorExpression_inBrackets_replace,1,0,0,1,0
ExpressionOrStatementBlock_block_delete,54,17,15,22,0
FOLMethodCallExpression_conditions_replace,14,11,2,1,0
FOLMethodCallExpression_method_replace,48,43,2,3,0
FOLMethodCallExpression_target_delete,12,12,0,0,0
FormalParameterExpression_name_replace,58,44,6,8,0
IfStatement_condition_replace,59,24,7,28,0
IfStatement_elseBody_delete,8,4,2,2,0
MethodCallExpression_arguments_add,202,111,25,66,0
MethodCallExpression_arguments_delete,77,39,5,33,0
MethodCallExpression_arguments_replace,96,64,2,30,0
MethodCallExpression_method_replace,23,16,6,1,0
MethodCallExpression_target_delete,202,113,26,63,0
OperationDefinition_annotationBlock_delete,16,0,0,16,0
OperationDefinition_body_delete,24,0,0,0,24
OperationDefinition_contextType_replace,6,0,3,3,0
OperationDefinition_parameters_add,24,20,1,3,0
OperationDefinition_parameters_delete,33,32,1,0,0
OperationDefinition_returnType_replace,34,6,3,3,22
OrOperatorExpression_inBrackets_replace,1,0,1,0,0
PropertyCallExpression_target_delete,14,0,0,0,14
ReturnStatement_expression_replace,14,7,4,3,0
VariableDeclarationExpression_name_replace,45,29,9,7,0
VariableDeclarationExpression_resolvedType_replace,14,7,2,5,0
Total Killed,,731,180
Total,1375,911,,404,60
