Mutation Operator,Gen.,Trivial,Killed,Not Killed,Invalid
AssignmentStatement_rhs_replace,4,1,2,1,0
Block_statements_add,5,0,3,2,0
Block_statements_delete,132,63,49,20,0
Block_statements_replace,25,14,7,4,0
EOLModule_block_delete,1,0,0,1,0
EOLModule_operations_delete,12,9,2,1,0
ExpressionOrStatementBlock_block_delete,35,10,7,5,13
ExpressionOrStatementBlock_condition_delete,13,0,0,0,13
ExpressionOrStatementBlock_condition_replace,76,12,34,30,0
FormalParameterExpression_name_replace,16,11,4,1,0
FormalParameterExpression_resolvedType_replace,2,0,0,2,0
IfStatement_condition_replace,45,25,11,9,0
IfStatement_elseBody_delete,3,0,0,3,0
IfStatement_elseIfBodies_delete,13,2,10,1,0
MethodCallExpression_arguments_add,96,53,38,5,0
MethodCallExpression_arguments_delete,13,9,3,1,0
MethodCallExpression_method_replace,20,14,2,4,0
MethodCallExpression_target_delete,71,43,23,5,0
ModelElementType_modelName_delete,54,12,13,29,0
ModelElementType_modelName_replace,54,15,13,26,0
OperationDefinition_annotationBlock_delete,3,0,0,3,0
OperationDefinition_body_delete,12,0,0,0,12
OperationDefinition_parameters_add,12,9,2,1,0
OperationDefinition_parameters_delete,15,12,2,1,0
OperationDefinition_returnType_replace,3,3,0,0,0
PropertyCallExpression_target_delete,67,0,0,0,67
VariableDeclarationExpression_create_replace,1,1,0,0,0
VariableDeclarationExpression_name_replace,24,14,8,2,0
Total Killed,,332,233
Total,827,565,,157,105
