Mutation Operator,Gen.,Trivial,Killed,Not Killed,Invalid
AssignmentStatement_rhs_replace,5,4,0,1,0
Block_statements_add,14,12,2,0,0
Block_statements_delete,25,25,0,0,0
Block_statements_replace,5,4,0,1,0
EOLModule_block_delete,1,1,0,0,0
EOLModule_operations_delete,2,2,0,0,0
ExpressionOrStatementBlock_block_delete,6,6,0,0,0
FOLMethodCallExpression_conditions_replace,7,6,1,0,0
FOLMethodCallExpression_method_replace,10,8,1,1,0
FOLMethodCallExpression_target_delete,2,2,0,0,0
FormalParameterExpression_name_replace,5,5,0,0,0
IfStatement_condition_replace,7,5,1,1,0
MethodCallExpression_arguments_add,10,10,0,0,0
MethodCallExpression_arguments_delete,1,0,1,0,0
MethodCallExpression_method_replace,8,8,0,0,0
MethodCallExpression_target_delete,10,10,0,0,0
OperationDefinition_body_delete,2,0,0,0,2
OperationDefinition_contextType_replace,2,2,0,0,0
OperationDefinition_parameters_add,2,2,0,0,0
OperationDefinition_returnType_replace,3,3,0,0,0
PlusOperatorExpression_inBrackets_replace,1,1,0,0,0
PropertyCallExpression_extended_replace,12,12,0,0,0
PropertyCallExpression_target_delete,24,0,0,0,24
VariableDeclarationExpression_name_replace,5,5,0,0,0
VariableDeclarationExpression_resolvedType_replace,2,1,0,1,0
WhileStatement_condition_replace,1,1,0,0,0
Total Killed,,135,6
Total,172,141,,5,26
